text,true_label,predicted_label,confidence,explanation
"The user reported inconsistent loading times on the project management dashboard. Recent server updates might be the cause. After the user cleared the cache and restarted the application, the issue still persists. The user is still experiencing slow loading times.",IT Support,Technical Support,0.4460357129573822,"Model je predvideo 'Technical Support' (pouzdanost 44.60%), ali prava kategorija je 'IT Support'."
"There was a system outage that affected data analytics processes. The issue could be related to a router failure. After restarting the router and checking connections, the problem still exists. Assistance is needed to resolve the issue and restore the investment optimization processes.",IT Support,Technical Support,0.4341384768486023,"Model je predvideo 'Technical Support' (pouzdanost 43.41%), ali prava kategorija je 'IT Support'."
"Customer support, experiencing difficulty in retrieving pricing information. Recent updates to the website might be the cause. Attempted clearing the cache with various browsers but to no avail. Kindly help in resolving this issue.",Sales and Pre-Sales,Technical Support,0.43131980299949646,"Model je predvideo 'Technical Support' (pouzdanost 43.13%), ali prava kategorija je 'Sales and Pre-Sales'."
"Support Needed for Data Analytics Platform Our data analytics platform has experienced a failure, disrupting the investment optimization process. The crash might be due to a server overload or a software bug. We have restarted the servers and updated the software, but the problem continues. Kindly h...",IT Support,Technical Support,0.43090036511421204,"Model je predvideo 'Technical Support' (pouzdanost 43.09%), ali prava kategorija je 'IT Support'."
"Customer support, experiencing difficulties in retrieving pricing information. Recent updates to the website might be the cause. I have attempted clearing the cache and used various browsers, but the issue persists. Kindly help in resolving this problem.",Sales and Pre-Sales,Technical Support,0.42886772751808167,"Model je predvideo 'Technical Support' (pouzdanost 42.89%), ali prava kategorija je 'Sales and Pre-Sales'."
"Issue with Project Management Software An error has been encountered with the project management software, which is impacting the integration across multiple products. This might be due to recent updates. Steps such as restarting the application and clearing the cache were taken to resolve connectiv...",Returns and Exchanges,Technical Support,0.4280127286911011,"Model je predvideo 'Technical Support' (pouzdanost 42.80%), ali prava kategorija je 'Returns and Exchanges'."
"Problem with Hospital Data Accessibility The medical data at the hospital has become inaccessible due to a malfunction in the recent security update. It is suspected that the recent software patch might be conflicting with the existing systems, leading to a data lockout. Attempts to roll back the up...",Product Support,Technical Support,0.42729899287223816,"Model je predvideo 'Technical Support' (pouzdanost 42.73%), ali prava kategorija je 'Product Support'."
"Greetings to the support team, I hope this message finds you well. I am reaching out to bring to your attention the inaccuracies in the investment predictions service. I believe this might be due to outdated data models. Despite my efforts in restarting the analytics tool and examining the data feed...",Product Support,Technical Support,0.42456457018852234,"Model je predvideo 'Technical Support' (pouzdanost 42.46%), ali prava kategorija je 'Product Support'."
"Request for Support with Data Analytics Platform The data analytics platform has experienced a failure, disrupting the investment optimization process. This may have been caused by a server overload or a software bug. After restarting the servers and updating the software, the problem remains unreso...",IT Support,Technical Support,0.4232695400714874,"Model je predvideo 'Technical Support' (pouzdanost 42.33%), ali prava kategorija je 'IT Support'."
"Hospital Data Access Problem The medical data at the hospital has become unavailable due to a malfunction in the recent security update. The new software patch might be conflicting with the existing systems, leading to a data lockout. Attempts to rollback the update and restart the server were unsuc...",Product Support,Technical Support,0.42322200536727905,"Model je predvideo 'Technical Support' (pouzdanost 42.32%), ali prava kategorija je 'Product Support'."
"Problem with Investment Forecast Generation on the Platform Customer Support, I am encountering an issue with the analytics platform's ability to generate the required investment forecasts. Even after refreshing the data and restarting the platform, the problem continues. The issue might be due to o...",Customer Service,Technical Support,0.4230618476867676,"Model je predvideo 'Technical Support' (pouzdanost 42.31%), ali prava kategorija je 'Customer Service'."
"Support with Digital Strategy Campaign Performance Challenges The recent campaign did not perform well, with decreased engagement. After reviewing the data and making adjustments, the results are still not satisfactory. We need assistance in pinpointing the cause and enhancing the strategy.",Product Support,Technical Support,0.42283889651298523,"Model je predvideo 'Technical Support' (pouzdanost 42.28%), ali prava kategorija je 'Product Support'."
"Problem with Project Management Dashboard There are occasional access problems with the project management dashboard. This might be related to recent server updates. I have cleared the cache and verified the user permissions, but the issue continues. We need your help to resolve this as soon as poss...",Product Support,Technical Support,0.42262187600135803,"Model je predvideo 'Technical Support' (pouzdanost 42.26%), ali prava kategorija je 'Product Support'."
"Encountered Login Problems Users have reported sporadic failures when trying to log into the project management SaaS platform. The issue may be related to the recent update of Redis to version 6.2. We have restarted the Redis service and cleared the cache, but the problem continues. We seek assistan...",Human Resources,Technical Support,0.42117545008659363,"Model je predvideo 'Technical Support' (pouzdanost 42.12%), ali prava kategorija je 'Human Resources'."
Encountered Issue with Data Integration An unexpected error occurred during the data integration process while optimizing investments with analytics tools. This might be due to compatibility issues with outdated software versions. Attempts to update the relevant software and restart the systems did ...,Customer Service,Technical Support,0.42065000534057617,"Model je predvideo 'Technical Support' (pouzdanost 42.07%), ali prava kategorija je 'Customer Service'."
"Enhancement Required for Marketing Strategies Expressing concern over the digital strategies implemented by the marketing agency. Despite the efforts, the brand has not seen significant growth. I believe that the current targeting campaigns may be ineffective, leading to low engagement. Efforts have...",Customer Service,Technical Support,0.4190292954444885,"Model je predvideo 'Technical Support' (pouzdanost 41.90%), ali prava kategorija je 'Customer Service'."
"A system outage has disrupted our data analytics processes. The issue may be related to a router failure. After restarting the router and checking connections, the problem still exists. Assistance is needed to resolve this issue and restore the investment optimization processes.",IT Support,Technical Support,0.41820234060287476,"Model je predvideo 'Technical Support' (pouzdanost 41.82%), ali prava kategorija je 'IT Support'."
"Reported Performance Problem in SaaS Platform Documenting a performance issue with the SaaS application, which is experiencing intermittent degradation. The probable cause appears to be database connection overload. Restarting services and clearing the cache have not resolved the problem. Your promp...",Product Support,Technical Support,0.41814735531806946,"Model je predvideo 'Technical Support' (pouzdanost 41.81%), ali prava kategorija je 'Product Support'."
"Reporting an issue with the processing of investment data for the financial firm. We're facing delays, likely due to system overload. Our team tried rebooting the system and refreshing the data, but the problem remains. We are worried about the potential impact on operations and would be grateful fo...",Product Support,Technical Support,0.41779854893684387,"Model je predvideo 'Technical Support' (pouzdanost 41.78%), ali prava kategorija je 'Product Support'."
Data analytics platform encountered a sudden failure The Cassandra 4.0 database experienced a failure due to inadequate resources.,IT Support,Technical Support,0.4165714681148529,"Model je predvideo 'Technical Support' (pouzdanost 41.66%), ali prava kategorija je 'IT Support'."
"Dear Customer Support, I am reporting a critical incident involving potential security breaches in the hospital's systems. Malicious access has been detected, and it is suspected that this might be due to outdated software and unsecured devices. We attempted to resolve the issue by updating the soft...",IT Support,Technical Support,0.4165147542953491,"Model je predvideo 'Technical Support' (pouzdanost 41.65%), ali prava kategorija je 'IT Support'."
"Data Security Breach Drafting a report on a serious incident involving unauthorized access to medical records by a healthcare organization. The breach probably happened due to obsolete security measures. Although a basic firewall has been put in place, the problem persists. We are worried about the ...",Returns and Exchanges,Technical Support,0.4161064624786377,"Model je predvideo 'Technical Support' (pouzdanost 41.61%), ali prava kategorija je 'Returns and Exchanges'."
"Issue after recent software update Project management features have been affected due to the latest update. Compatibility problems with hardware are suspected. I have already checked the software settings and reinstalled the drivers, but the issue still persists.",Product Support,Technical Support,0.4157067835330963,"Model je predvideo 'Technical Support' (pouzdanost 41.57%), ali prava kategorija je 'Product Support'."
Assistance Required for Data Analytics Problem The data analytics tool is experiencing issues that are impeding the optimization of investment processes. The problem might be due to conflicts during recent software updates integration. Attempts to restart the application and verify system compatibil...,Product Support,Technical Support,0.4147784113883972,"Model je predvideo 'Technical Support' (pouzdanost 41.48%), ali prava kategorija je 'Product Support'."
"Subscription Fee Concern The customer was charged a higher fee in the current month due to a plan change. After verifying account details and attempting to contact support, they received a response. They require assistance with the unexpected charge and request help in resolving the issue promptly.",Billing and Payments,Technical Support,0.41448521614074707,"Model je predvideo 'Technical Support' (pouzdanost 41.45%), ali prava kategorija je 'Billing and Payments'."
"Subscription Fee Concern The customer was charged a higher fee in the current month due to a plan change. After verifying account details and attempting to contact support, they received a response. They require assistance with the unexpected charge and request help in resolving the issue promptly.",Billing and Payments,Technical Support,0.41448521614074707,"Model je predvideo 'Technical Support' (pouzdanost 41.45%), ali prava kategorija je 'Billing and Payments'."
"Several products are displaying synchronization errors. A recent update might have led to conflicts within the integrations. Attempts to resolve the problem by restarting the applications, clearing caches, and reinstalling the software have not been successful.",IT Support,Technical Support,0.4141395092010498,"Model je predvideo 'Technical Support' (pouzdanost 41.41%), ali prava kategorija je 'IT Support'."
"Encountered Login Difficulties Users have been experiencing sporadic failures when trying to log into the project management SaaS platform. This may be related to the recent update to Redis 6.2 cache. Although the Redis service was restarted and the cache was cleared, the problem continues. We need ...",Human Resources,Technical Support,0.4139440655708313,"Model je predvideo 'Technical Support' (pouzdanost 41.39%), ali prava kategorija je 'Human Resources'."
"Customer Support, encountering issues with task synchronization in the project management SaaS application integrated with Outlook. Recent API modifications might be the cause. We have attempted reconnecting and clearing the cache, but the problem still exists. Please help us in resolving this issue...",Human Resources,Technical Support,0.41374140977859497,"Model je predvideo 'Technical Support' (pouzdanost 41.37%), ali prava kategorija je 'Human Resources'."
"Customer Support, encountering issues with task synchronization in the project management SaaS application integrated with Outlook. Recent API modifications might be the cause. We have attempted reconnecting and clearing the cache, but the problem still exists. Please help us in resolving this issue...",Human Resources,Technical Support,0.41374140977859497,"Model je predvideo 'Technical Support' (pouzdanost 41.37%), ali prava kategorija je 'Human Resources'."
"Support Inquiry Form Requesting to enhance the integration functionality within the SaaS platform. Currently, the compatibility with listed products and services is limited, and I believe an improvement in this area would greatly benefit the users. I would appreciate it if you could look into this m...",IT Support,Technical Support,0.41359254717826843,"Model je predvideo 'Technical Support' (pouzdanost 41.36%), ali prava kategorija je 'IT Support'."
"Urgent: Major Failure in SaaS Platform A critical outage has affected the SaaS platform, disrupting several integrations. The recent updates might be the cause of the API connection problems. Efforts to revert the changes and reset configurations have not been successful.",Product Support,Technical Support,0.4135807156562805,"Model je predvideo 'Technical Support' (pouzdanost 41.36%), ali prava kategorija je 'Product Support'."
"Concern with Investment Analytics Dashboard I am reaching out to address an issue with the investment analytics dashboard. The performance metrics shown are inaccurate, despite attempts to refresh the data feeds and clear the cache, which have not resolved the problem. It seems possible that this is...",IT Support,Technical Support,0.4135782718658447,"Model je predvideo 'Technical Support' (pouzdanost 41.36%), ali prava kategorija je 'IT Support'."
"Facing sporadic connection problems with the SaaS platform during project uploads. These issues might be caused by heightened server traffic during peak times. Steps taken include optimizing server resources and restarting the application, but the problems continue. I would greatly appreciate your h...",IT Support,Technical Support,0.4134444296360016,"Model je predvideo 'Technical Support' (pouzdanost 41.34%), ali prava kategorija je 'IT Support'."
"Customer Support, preparing a report on a critical incident that impacted the system. The problem caused a system outage affecting several products. The initial suspicion points to server overload or a configuration mistake. The team promptly took action by restarting services and closely monitoring...",Sales and Pre-Sales,Technical Support,0.4128156900405884,"Model je predvideo 'Technical Support' (pouzdanost 41.28%), ali prava kategorija je 'Sales and Pre-Sales'."
"Problem with Campaign Data Synchronization I am facing difficulties with the synchronization of my campaign data. The sync process has failed, and I believe there might be an issue with the API connection. I attempted to restart the server and double-check my credentials, but the problem still exist...",IT Support,Technical Support,0.4123859703540802,"Model je predvideo 'Technical Support' (pouzdanost 41.24%), ali prava kategorija je 'IT Support'."
"Identifying Integration Issues in Project Management SaaS There has been an integration issue with the project management SaaS tool, which may be related to recent software updates. Restarting devices and clearing the cache seemed to resolve the issue.",Customer Service,Technical Support,0.41235125064849854,"Model je predvideo 'Technical Support' (pouzdanost 41.24%), ali prava kategorija je 'Customer Service'."
"Issues with Investment Analytics Reports Noted the presence of discrepancies within the investment analytics reports, which have led to incorrect investment recommendations. These discrepancies might have arisen due to issues with data integration within the analytics platform. Up till now, recalibr...",Product Support,Technical Support,0.4120556712150574,"Model je predvideo 'Technical Support' (pouzdanost 41.21%), ali prava kategorija je 'Product Support'."
"Facing problems with the data analytics platform, which is affecting the investment optimization process. Attempted to resolve by restarting the applications and clearing the cache, but the issue remains unresolved.",Human Resources,Technical Support,0.41204506158828735,"Model je predvideo 'Technical Support' (pouzdanost 41.20%), ali prava kategorija je 'Human Resources'."
"Recent Update Caused Multiple Product Integration Failures Reporting a problem with multiple product integrations, such as iOS and Linux, which unexpectedly failed after the recent platform update. The likely cause appears to be conflicts introduced by the latest update. Troubleshooting efforts incl...",Human Resources,Technical Support,0.411854088306427,"Model je predvideo 'Technical Support' (pouzdanost 41.19%), ali prava kategorija je 'Human Resources'."
"I am encountering issues with the integration of project management features across different software products. The problem might be due to compatibility conflicts. Despite attempting to troubleshoot using the provided documentation and support forums, I have not found a resolution. I would greatly...",Product Support,Technical Support,0.411023885011673,"Model je predvideo 'Technical Support' (pouzdanost 41.10%), ali prava kategorija je 'Product Support'."
"Request for Software Assistance An employee encountered difficulties with the analytics software, experiencing prolonged loading times. Restarting the application and clearing the cache resolved the issue. The problem may have been caused by increased user traffic or recent system updates.",Human Resources,Technical Support,0.4110116958618164,"Model je predvideo 'Technical Support' (pouzdanost 41.10%), ali prava kategorija je 'Human Resources'."
"Customer Support, I am expressing concerns regarding the digital strategies executed by the marketing agency. Despite our efforts, there has been an increase in brand visibility. I suspect the issue may lie in the campaign targeting or limited content variations. The current approach might not be ef...",Customer Service,Technical Support,0.4104292690753937,"Model je predvideo 'Technical Support' (pouzdanost 41.04%), ali prava kategorija je 'Customer Service'."
"Support for Recent System Disruption A recent system disruption has impacted several applications, causing issues with investment analytics processes. The problem may be due to compatibility issues with conflicting software updates during the installation. Steps taken included restarting the affecte...",Customer Service,Technical Support,0.4102671146392822,"Model je predvideo 'Technical Support' (pouzdanost 41.03%), ali prava kategorija je 'Customer Service'."
"Assistance with Recent Security Incident Report Customer Support, I am preparing a report on a recent security incident that occurred at the hospital. There was an unauthorized access incident that compromised the medical data in the hospital's systems. The incident may have been due to outdated sec...",Returns and Exchanges,Technical Support,0.4102632999420166,"Model je predvideo 'Technical Support' (pouzdanost 41.03%), ali prava kategorija je 'Returns and Exchanges'."
"Failure of the Data Analytics Tool The tool encountered a crash due to server overload, and restarting it resolved the issue.",Product Support,Technical Support,0.41016799211502075,"Model je predvideo 'Technical Support' (pouzdanost 41.02%), ali prava kategorija je 'Product Support'."
"Problem with Digital Campaign Analytics Facing difficulties with the analytics data of digital campaigns. Even after restarting devices and updating software, the issue continues. I suspect there might be conflicts due to outdated tools. We need your help in resolving this.",IT Support,Technical Support,0.4098564684391022,"Model je predvideo 'Technical Support' (pouzdanost 40.99%), ali prava kategorija je 'IT Support'."
Medical Records Data Breach A healthcare organization encountered a data breach. Preliminary efforts to disable security measures were ineffective. An investigation is required to determine the source of the vulnerability.,Billing and Payments,Technical Support,0.4095841646194458,"Model je predvideo 'Technical Support' (pouzdanost 40.96%), ali prava kategorija je 'Billing and Payments'."
"Data Analytics Challenge A problem with data analytics has impacted the investment optimization process at the financial firm. The potential cause might be system overload or misconfiguration. After restarting the analytics servers and verifying data feeds, the issue remains unresolved. We require a...",Product Support,Technical Support,0.40932363271713257,"Model je predvideo 'Technical Support' (pouzdanost 40.93%), ali prava kategorija je 'Product Support'."
"Failure in Marketing Approach Customer support has expressed concerns regarding the digital strategies employed by the marketing agency. Despite ongoing efforts, the brand has not experienced substantial growth. Although the targeted messaging might be effective, the lack of improvement could be due...",Returns and Exchanges,Technical Support,0.4092838764190674,"Model je predvideo 'Technical Support' (pouzdanost 40.93%), ali prava kategorija je 'Returns and Exchanges'."
